entorno,nombre,etapa,tipo,area_responsable,descripcion,monto_contrato,comuna,barrio,direccion,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,licitacion_oferta_empresa,licitacion_anio,contratacion_tipo,nro_contratacion,cuit_contratista,expediente-numero
Paseo Del Bajo,Paseo Del Bajo: Tramo B - Trinchera Semicubierta Sur,Finalizada,Transporte,Secretaria de Transporte y Obras Publicas,"El tramo B del proyecto contemplo el recorrido desde el viaducto sur que conecta con las autopistas 25 de Mayo y Buenos Aires-La Plata hasta el comienzo del tramo C en cercanias al parque central. Se desarrollo en trinchera semi cubierta, con tramos peatonales y calles vehiculares pasantes.",1640500000.0,1,puerto madero,"huergo, ing. av. y garay, juan de av.",2017-01-02,2019-04-30,27,100,GreenSeosaPbtUte,2016,Licitacion Publica,2016-01-0008-00,30715467999,nan
Paseo Del Bajo,Paseo Del Bajo: Tramo C - Trinchera Semicubierta Norte,Finalizada,Transporte,Secretaria de Transporte y Obras Publicas,"El tramo C se desarrollo desde el final del tramo B en cercanias del parque central hasta el comienzo del viaducto norte en el area de retiro. El primer tramo, al igual que el tramo B, se llevo a cabo en trinchera semi cubierta con tramos peatonales y calles vehiculares pasantes. La segunda parte, a la altura de la Plaza Canada en Retiro, se llevo a cabo a nivel.",3183200000.0,1,puerto madero,"huergo, ing. av. y garay, juan de av.",2017-02-01,2019-04-25,26,100,Iecsa-FontanaNicastroUte,2016,Licitacion Publica,2016-01-0009-00,30715471457,nan
Cuenca Radio Antiguo y Ugarteche,Ramal Austria I,Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"La obra consistio en un conducto de cuatro metros de diametro realizado mediante la metodologia de tunel de excavacion manual con revestimiento metalico tipo linner, que en su primera etapa de ejecucion se complemento con ocho camaras de ataque de 4 metros de diametro ejecutadas con la misma tecnologia.",75368613.0,2,recoleta,"del libertador av. y figueroa alcorta, pres. av.",2015-05-26,2018-01-30,32,100,TecmaS.A.,2015,nan,nan,30623866528,nan
Cuenca Arroyo Cildanez,Ramal Caaguazu -Ampliacion Red Pluvial VII,Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"Los trabajos de la obra hidraulica del ramal Caaguazu consistieron en la ampliacion de la capacidad de los ramales para aliviar la red existente y evitar los anegamientos sobre Av. Rivadavia y calle Yerbal. Consto de dos conductos: El primero se inicio en la esquina de la calle Yerbal y recorre las calles Yerbal y Urdaneta hasta Av. Rivadavia. La segunda comenzo en la esquina de Caaguazu desde Oliden, pasando por calle Ramon L. Falcon.",69200043.0,9,liniers,"oliden y falcon, ramon l.,cnel.",2016-07-28,2018-04-30,21,100,SESS.A.-CONSTRUEREINGENIERIAS.A.-REDVII-UNIONTRANSITORIADEEMPRESAS,2016,nan,nan,30715243489,nan
Cuenca Larrazabal y Escalada,Ramal Escalada -Ampliacion Red Pluvial VI,Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"Se realizo una obra de mejoramiento y readecuacion de la Red Pluvial VI, para el mejor escurrimiento de las precipitaciones en la comuna 8.",52685356.0,8,villa riachuelo,"fernandez de la cruz, f., gral. av. y suarez, jose leon",2016-08-22,2017-12-10,16,100,AltoteS.A.-NakuConstruccionesS.R.L.-(Ute),2015,nan,nan,30712263454,nan
Cuenca Arroyo Vega,Red Pluvial IV: Ampliacion,Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"La obra consistio en la ejecucion de conductos circulares con respectivas camaras, sumideros, nexos y demas componentes secundarios, a fin de resolver en distintas ubicaciones los problemas de anegamientos producidos por la falta de red de captacion pluvial, complementarios al plan director de ordenamiento hidraulico.",24536126.0,12,coghlan,"quesada y perez, roque",2014-06-16,2016-10-31,28,100,AltoteS.A.-NakuConstruccionesS.R.L.-(Ute),2013,Licitacion Publica,2529/2013,30712263454,2769136/2013
Centro De Exposiciones Y Convenciones,Centro de Exposiciones y Convenciones,Finalizada,Arquitectura,Secretaria de Transporte y Obras Publicas,"El equipamiento metropolitano del Centro de Exposiciones y Convenciones se proyecto a partir de la idea de soterrar el edificio para liberar superficie e integrar la cubierta verde al Parque Thays y la Plaza de las Naciones Unidas, formando un gran parque publico. Se ubica en el predio de Av. Figueroa Alcorta al lado de la Facultad de Derecho constituyendo un enclave estrategico de la ciudad de Buenos Aires dada su localizacion y su potencialidad simbolica y espacial. El edificio tiene capacidad para 5.000 asistentes y esta conformado por una sala plenaria y otras salas auxiliares divisibles. Tambien cuenta con oficinas, espacios para reuniones, un restaurante, un estacionamiento para 900 vehiculos y un foyer de 1.600 miA2. A su vez, tiene acceso a la estacion Facultad de Derecho de la linea H.",313660000.0,2,recoleta,"couture, eduardo j. y vaz ferreira, carlos, dr.",2014-12-20,2017-04-30,28,100,C.R.I.B.A.SA-MEJORESHOSPITALESSA-UNIONTRANSITORIADEEMPRESAS,2013,Licitacion Publica,2.594/2013,30714365440,4.150.195/2013
Edificio Lezama,Edificio Lezama: Obra Civil,Finalizada,Arquitectura,Secretaria de Transporte y Obras Publicas,"La obra del Palacio Lezama se integro dentro del plan de descentralizacion administrativa del gobierno porteno al sur de la Ciudad. El edificio es patrimonio historico de la Ciudad y un hito de la memoria urbana del Barrio de Barracas que se encuentra ubicado sobre la Av. Martin Garcia, entre la calle Irala y Av. Regimiento de los Patricios. Posee una superficie aproximada de 30.000 M2 distribuidos en planta baja y 6 pisos, con acceso de vehiculos por calle Pilcomayo. Fue remodelado y restaurado integramente, restaurando la fachada original para satisfacer los requerimientos tecnologicos, funcionales y de seguridad de las dependencias que trabajaban alli. El edificio tiene capacidad para 3.100 puestos de trabajo correspondientes al Ministerio de Modernizacion, Ministerio de Desarrollo Urbano y Transporte, Ministerio de Ambiente y Espacio Publico y Sindicatura General.",52831053.0,4,la boca,"garcia, martin av. 346",2015-03-13,2016-12-30,21,100,SESSA,2014,Licitacion Publica,1816/SIGAF/2014,30647727545,nan
Cuenca Arroyo Vega,Arroyo Vega - Mejora de la Eficiencia Hidraulica,Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"Se llevo adelante la obra que implico entabicar las columnas y las vigas para la mejora de la eficiencia hidraulica del conducto, asegurando el desplazamiento del fluido de la manera mas eficaz posible. La obra se ejecuto entre las calles 11 de Septiembre y Balbin, bajo la calle Blanco Encalada.",20356959.0,13,belgrano,av. rafael obligado 6125,2014-12-22,2016-09-30,21,100,TecmaS.A.,2014,Licitacion Publica,1459/2014,30623866528,5.428.222/2014
Conector Ambiental Iriarte,Conector Ambiental Iriarte,Finalizada,Espacio Publico,Secretaria de Transporte y Obras Publicas,Tipologia de calle con importante presencia de vegetacion. Forma parte de una red que permite conectar el conjunto de espacios verdes de la Ciudad.,10984180.0,4,parque patricios,"velez sarsfield av. y alcorta, amancio av.",2015-02-03,2017-07-28,29,100,AltoteS.A,2014,Licitacion Publica,1526/2014,30707431896,nan
Parque Olimpico,Parque Olimpico: Cubierta Arena Parque Roca.,Finalizada,Arquitectura,Secretaria de Transporte y Obras Publicas,"Como estrategia del desarrollo de la zona sur de la ciudad, llevando equipamiento de alta categoria a areas historicamente relegadas, se construyo el techo corredizo para el Estadio Parque Roca. Dicha cubierta tiene 13 mil metros cuadrados y sirve para adecuar el recinto a la situacion del clima. La capacidad aumento de 14.500 a 15.500 espectadores, ademas, se mejoraron todos los accesos, circulaciones y el entorno en general, ya que el Estadio Parque Roca fue una de las sedes donde se desarrollaron los Juegos Olimpicos de la Juventud 2018.",103608164.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,2013-12-26,2018-09-15,57,100,TeximcoS.A.-DalConstructora.S.A.Ute,2013,Licitacion Publica,1.723/2013,30714751979,1.443.586/2013
Metrobus del Bajo,Metrobus Del Bajo: Paradores - Etapa I,Finalizada,Transporte,Secretaria de Transporte y Obras Publicas,"El Metrobus del Bajo comprende un corredor vial de 4,8 kilometros sobre las Av. Leandro N. Alem y Av. Paseo Colon que une los Barrios de Retiro y La Boca. El proyecto se inserta dentro del Plan de Movilidad Sustentable en el cual contemplo el rediseno del espacio para darle prioridad al transporte publico, la promocion de la movilidad sustentable, el ordenamiento, la seguridad vial y la introduccion de tecnologias que permiten brindar informacion en tiempo real. Su puesta en funcionamiento redujo un 30 % el tiempo de viaje de las 30 lineas de colectivos que prestan servicio a mas de 300.000 personas por dia.",229538623.0,1,montserrat,"yrigoyen, hipolito av. y paseo colon av.",2017-02-15,2017-07-15,5,100,RivaS.A,2016,Licitacion Publica,1224-SIGAF/16,33504596309,24.603.091-DGTMBR-2016
Acumar,Camino De Sirga II,Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"La segunda etapa del Camino de Sirga se centro en liberar y volver transitable y accesible el margen del Riachuelo entre las calles Vieytes y Av. Saenz. Se recupero para el uso publico en vias de cumplimentar con lo enunciado en el Plan Urbano Ambiental, donde se indican los rasgos fundamentales que deben desarrollar la Ciudad de Buenos Aires y los principales lineamientos para garantizar el alcance de dichos rasgos. Se propuso un parque lineal con un camino vehicular enfocado al transito recreativo de las personas, involucrando la construccion de un paseo ribereno, bicisendas, espacios verdes, alumbrado y equipamiento general.",40774370.0,4,barracas,"zavaleta e iriarte, gral. av.",2013-01-08,2017-05-31,52,100,BriconsS.A.I.C.F.I.,2012,Licitacion Publica,2278/2012,30541068151,1.630.472/2012
Metrobus Norte,Metrobus Norte: Metrobus Cabildo II,Finalizada,Transporte,Secretaria de Transporte y Obras Publicas,"La traza de la segunda etapa del Metrobus Norte comienza en Franklin Roosevelt, como continuacion del primer tramo y finaliza en Santos Dumont. Hay paradores en gran parte de la extension del corredor, a excepcion de las cuadras entre Juramento y Echeverria, La Pampa y Jose Hernandez, y Teodoro Garcia y Federico Lacroze. En total, se trato de 5 estaciones, con 22 paradores. Es el septimo corredor de la red de metrobus CABA, que tiene una extension de 2.7 km y revitalizo los barrios de Belgrano, Colegiales y Palermo.",139861846.0,13,belgrano,"cabildo av. y pino, virrey del",2016-01-08,2017-05-31,16,100,BriconsS.A.I.C.F.I.,2016,Licitacion Publica,294-SIGAF/16,30541068151,10.508.702- MGEYA-DGTMBR-2016
Metrobus Norte,Metrobus Norte: Centro de Transbordo Pacifico,Finalizada,Transporte,Secretaria de Transporte y Obras Publicas,"Se ejecutaron paradores linderos a los carriles exclusivos para buses, que funcionan como punto de transbordo de pasajeros. Esta ubicado sobre la Av. Santa Fe entre las calles Carranza y Thames, con una extension de 1,1 km, 22 lineas de colectivos con 375 servicios promedio por hora y cuenta con 11 paradores, mejorando la experiencia de viaje de mas de 120 mil personas todos los dias.",71823848.0,14,palermo,"santa fe av. y justo, juan b. av.",2016-08-24,2016-11-24,3,100,ConstruccionesIngevialS.A.,2016,Licitacion Publica,447-SIGAF/16,30650833380,12.403.925- MGEYA-DGTMBR-2016
Pasos Bajo Nivel,Paso bajo nivel Balbin,Finalizada,Transporte,Secretaria de Transporte y Obras Publicas,"El Paso Bajo Nivel de Av. Balbin se extiende entre Estomba y Av. Goyeneche, pasando por debajo las vias del Ferrocarril Mitre ramal Mitre, a 300 metros de la estacion L. M. Saavedra del tren. Su tunel es doble mano, cuenta con cuatro carriles de circulacion, dos por sentido, con una altura libre de paso de 5,10 metros que lo hace apto para transito liviano y transporte de pasajeros.",119960000.0,12,saavedra,"balbin, ricardo, dr. av. y plaza",2016-06-12,2018-08-02,26,100,Eleprint-ConstrumexUte,2014,Licitacion Publica,2013-01-0016-00,30714433896,nan
